Francais;Anglais
a;has
à;in
agréable;pleasant
aimait;liked
aime;dislikes
aime;likes
aimé;loved
aimée;loved
aiment;like
aimeraient;like
aimés;loved
aimez;like
aimons;like
allé;went
allée;went
aller;go
allés;went
allez;going
allions;go
allons;go
amusant;fun
anglais;english
animal;animal
animaux;animals
août;august
apprécié;liked
as;have
at;did
au;during
automne;autumn
automobile;automobile
aux;to
avez;liked
avons;go
avril;april
banane;banana
bananes;bananas
beau;beautiful
belle;beautiful
bénigne;mild
bien;nice
blanc;white
blanche;white
bleu;blue
bleue;blue
brillant;shiny
brillante;shiny
c;it
california;california
californie;california
calme;quiet
camion;truck
ce;this
cépage;grape
cet;this
cette;that
chat;cat
chats;cats
chaud;warm
chaude;hot
chaux;lime
cher;loved
cheval;horse
chevaux;horses
chien;dog
chiens;dogs
chine;china
chinois;chinese
citron;lemon
citrons;lemons
clémentes;mild
comme;like
comment;how
conduisait;driving
conduit;driving
conduite;driving
congélation;freezing
cours;during
d;of
dans;in
de;
décembre;december
dernier;last
dernière;last
des;the
détend;relaxing
détendre;relaxing
détestait;disliked
déteste;dislikes
détestez;dislike
détestons;dislike
difficile;difficult
douce;mild
doux;mild
du;the
durant;during
école;school
eiffel;eiffel
éléphant;elephant
éléphants;elephants
elle;she
en;in
enneigé;snowy
enneigée;snowy
entre;between
envisage;plans
envisagent;plan
épicerie;grocery
es;been
espagnol;spanish
est;is
et;and
étaient;were
était;was
etats;states
états;states
été;summer
êtes;did
facile;easy
faire;go
fait;is
favori;favorite
favoris;favorite
février;february
football;football
frais;chilly
fraise;strawberry
fraises;strawberries
français;french
france;france
frisquet;chilly
froid;cold
fruit;fruit
fruits;fruit
gel;freezing
gèle;freezing
gelé;freezing
gelés;freezing
généralement;usually
glaciales;freezing
grand;big
grande;big
grandes;big
grands;big
gros;big
grosse;big
grosses;big
habituellement;usually
hiver;winter
humide;wet
i;i
il;it
ils;they
inde;india
intention;plan
j;i
jamais;never
janvier;january
jaune;yellow
je;i
jersey;jersey
juillet;july
juin;june
l;the
la;the
lac;lake
lapin;rabbit
lapins;rabbits
le;the
légère;mild
les;the
leur;their
leurs;their
limes;limes
lion;lion
lions;lions
lui;her
magnifique;wonderful
mai;may
maillot;jersey
mais;but
mangue;mango
mangues;mangoes
manguiers;mangoes
mars;march
merveilleux;wonderful
mes;my
moindres;least
moins;least
mois;
mon;my
monde;busy
moteur;driving
mouillé;wet
mouillée;wet
n;not
ne;didn't
neige;snowy
neigeux;snowy
new;new
noir;black
noire;black
nos;our
notre;our
nous;we
nouveau;new
nouvelle;new
novembre;november
occupé;busy
occupée;busy
octobre;october
oiseau;bird
oiseaux;birds
ont;have
orange;orange
oranges;oranges
où;where
ours;bear
pamplemousse;grapefruit
pamplemousses;grapefruit
parfois;sometimes
paris;paris
pas;disliked
pêche;peach
pêches;peaches
pendant;during
pense;thinks
pensez;think
petit;little
petite;little
petites;little
petits;little
peu;little
plaît;dislike
pleut;rainy
pluie;rainy
pluies;rainy
plus;most
pluvieux;rainy
poire;pear
poires;pears
pomme;apple
pommes;apples
porcelaine;china
portugais;portuguese
pourquoi;why
pourraient;might
pourrait;might
pousse;drives
préféré;favorite
préférée;favorite
préférées;favorite
préférés;favorite
prévoient;plan
prévois;plan
prévoit;plans
prévoyons;plan
printemps;spring
prochain;next
proches;loved
qu;that
quand;when
que;that
qui;that
raisin;grape
raisins;grapes
redouté;feared
redoutée;feared
redoutés;feared
relaxant;relaxing
rendre;go
requin;shark
requins;sharks
ressort;spring
rouge;red
rouille;rusty
rouillé;rusty
rouillée;rusty
se;
sec;dry
sèche;dry
septembre;september
serpent;snake
serpents;snakes
ses;his
singe;monkey
singes;monkeys
son;his
sont;are
souris;mouse
souvent;usually
sur;to
t;does
temps;weather
terrain;field
tour;tower
tout;like
traduction;translating
traduire;translate
traduis;translating
tranquille;quiet
trop;busy
trouvé;like
tu;you
un;a
une;a
unis;united
va;going
vais;going
vers;to
vert;green
verte;green
verts;green
veulent;want
veut;wants
vieille;old
vieux;old
visite;visit
visiter;visit
vit;saw
voiture;car
volant;driving
vont;going
vos;your
votre;your
voudrait;would
voulaient;wanted
voulait;wanted
voulez;would
vous;you
vu;saw
